title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Wonder Woman",movie,"Action, Adventure, Animation",2009,tt1186373,7.2,19001,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Cosy Dens",movie,"Comedy, Drama",1999,tt0167331,8.1,6310,"CZ, SK"
"Play Misty for Me",movie,"Drama, Thriller",1971,tt0067588,6.9,32618,"AG, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Notorious Bettie Page",movie,"Biography, Drama",2005,tt0404802,6.5,11790,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Ben 10: Secret of the Omnitrix",movie,"Action, Adventure, Animation",2007,tt1146431,7.4,4484,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Don't Tell Mom the Babysitter's Dead",movie,Comedy,1991,tt0101757,6.3,38993,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, GT, GY, HN, JM, LC, MX, NI, NO, PA, PE, PY, SE, SV, TC, TT, UY, VE"
"Don't Die Too Hard!",movie,Comedy,2001,tt0259060,5.8,5841,"FR, MC"
"Scooby-Doo and the Cyber Chase",movie,"Action, Adventure, Animation",2001,tt0290057,7.1,10191,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, US, UY, VE"
"Batman & Mr. Freeze: SubZero",movie,"Action, Animation, Crime",1998,tt0143127,7.1,18589,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Mummy",movie,"Fantasy, Horror",1932,tt0023245,7,31200,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Barbie and the Magic of Pegasus",movie,"Animation, Family, Romance",2005,tt0480345,6.6,5668,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Autumn Spring",movie,"Comedy, Drama, Family",2001,tt0286476,7.4,1857,"CZ, SK"
"King's Game",movie,"Drama, Thriller",2004,tt0378215,7.3,4892,"DK, FI, NO, SE"
